id,name,address,date,status,link
46,"T&ZEE ENGINEERING PTE. LTD.","Victoria Street, 188061",2008-09-13,Registered,https://opencorpdata.com/sg/200813426D
47,"EE SWAN ELECTRICAL ENGINEERING & PLUMBING SERVICE","Yishun Street 23, 768441",2008-09-10,Registered,https://opencorpdata.com/sg/36988700W
48,"TECHSTON ENGINEERING PTE. LTD.","Mandai Link, 728653",2011-03-12,Registered,https://opencorpdata.com/sg/201105963H
49,"BAN KIM ELECTRICAL ENGINEERING CO","Duku Road, 429205",2008-09-09,Registered,https://opencorpdata.com/sg/30298100D
50,"NEWEST ELECTRICAL & PLUMBING ENGINEERING","Onan Road, 424644",2016-05-13,Registered,https://opencorpdata.com/sg/53337170L
51,"L&G ENGINEERING & TRADING","North Bridge Road, 179098",2008-09-11,Registered,https://opencorpdata.com/sg/52886168M
52,"ROLE ENGINEERING CONSTRUCTION PTE LTD","Jalan Asuhan, 299359",2008-09-09,Registered,https://opencorpdata.com/sg/198301018E
53,"NGEE KWONG ENGINEERING PTE LTD","Owen Road, 218938",2008-09-09,Registered,https://opencorpdata.com/sg/197900355G
54,"ASA ENGINEERING SERVICE","Sin Ming Lane, 573969",2016-07-23,Registered,https://opencorpdata.com/sg/53342349W
55,"JHENG YANG ENGINEERING PTE. LTD.","Eunos Avenue 7, 409576",2008-09-13,Registered,https://opencorpdata.com/sg/200503922D
56,"YIAM SENG ENGINEERING WORK","Yishun Industrial Street 1, 768160",2008-09-10,Registered,https://opencorpdata.com/sg/52816184M
57,"SWIFT SYSTEMS ENGINEERING PTE. LTD.","Kitchener Road, 208511",2008-09-12,Registered,https://opencorpdata.com/sg/200201257K
58,"CIVILTECH CONSTRUCTION & ENGINEERING PTE. LTD.","Sembawang Drive, 752463",2008-09-13,Registered,https://opencorpdata.com/sg/200710202M
59,"HUP HUAT ENGINEERING WORKS COMPANY","Beach Road, 199589",2008-09-09,Registered,https://opencorpdata.com/sg/07377200C
60,"TZS ENGINEERING PTE. LTD.","Anson Road, 079903",2017-03-07,Registered,https://opencorpdata.com/sg/201706394H
61,"XYLM ENGINEERING PTE. LTD.","Ang Mo Kio Industrial Park 2, 569557",2014-05-21,Registered,https://opencorpdata.com/sg/201414452E
62,"K.S LEO CIVIL ENGINEERING WORKS","Rivervale Drive, 541191",2011-04-07,Registered,https://opencorpdata.com/sg/53188980K
63,"HTR ENGINEERING PTE. LTD.","Lorong 23 Geylang, 388371",2015-12-08,Registered,https://opencorpdata.com/sg/201542462D
64,"MAXTRADE ENGINEERING SERVICES PTE. LTD.","Woodlands Industrial Park E5, 757322",2014-05-13,Registered,https://opencorpdata.com/sg/201413622Z
65,"CYBERNETIC ENGINEERING CONSULTANTS","Normanton Park, 119002",2016-09-08,Registered,https://opencorpdata.com/sg/53345632X
66,"HOCK SEONG ENGINEERING PTE. LTD.","Boon Lay Way, 609966",2014-07-18,Registered,https://opencorpdata.com/sg/201420980G
