id,name,address,date,status,link
14960,ASEAN Academy of Engineering and Technology,"Bukit Tinggi Road, 289758",8/28/2008,Registered,https://opencorpdata.com/sg/T07SS0113E
15092,International Society for Pharmaceutical Engineering (Singapore),"Haig Road, 438765",8/28/2008,Registered,https://opencorpdata.com/sg/T00SS0123H
15421,Engineering Alumni Singapore (EAS),"Kent Ridge Crescent Faculty Of, 119260",8/28/2008,Registered,https://opencorpdata.com/sg/S71SS0046D
15592,Singapore Surface Engineering Association,"Middle Road, 188979",8/28/2008,Registered,https://opencorpdata.com/sg/S80SS0160E
15629,Tamils Information Technology Society (Singapore),"Sophia Road, 228149",8/28/2008,Registered,https://opencorpdata.com/sg/S56SS0004L
16544,"Society of Manufacturing Engineers, Singapore Chapter 2l9","Bedok South Road, 469276",8/28/2008,Registered,https://opencorpdata.com/sg/S74SS0007F
17242,Society of Bioscience and Technology,"Tras Street, 078997",8/28/2008,Registered,https://opencorpdata.com/sg/T04SS0265J
17506,"Singapore Engineering Alumni Association Of The University Of Malaya, The","Jalan Jarak, 809244",8/28/2008,Registered,https://opencorpdata.com/sg/S69SS0012J
17515,International Protective Technology Association,"Jalan Kilang Barat, 159361",8/28/2008,Registered,https://opencorpdata.com/sg/T08SS0049K
17575,Singapore Space and Technology Association,,8/28/2008,Registered,https://opencorpdata.com/sg/T07SS0060G
18547,Environmental Engineering Society of Singapore,,8/28/2008,Registered,https://opencorpdata.com/sg/S81SS0021F
18704,"Society of Naval Architects and Marine Engineers, Singapore",,8/28/2008,Registered,https://opencorpdata.com/sg/S73SS0017F
19059,University of Science & Technology of China Alumni Association (Singapore),"Anson Road, 079903",8/28/2008,Registered,https://opencorpdata.com/sg/T05SS0170D
19380,Queensland University of Technology Alumni (Singapore Chapter),"Serangoon North Avenue 4, 550500",8/28/2008,Registered,https://opencorpdata.com/sg/S96SS0017E
19450,Singapore Engineering Merchants' Association,,8/28/2008,Registered,https://opencorpdata.com/sg/S84SS0052K
19643,Nanyang Technological University School of Materials Science and Engineering Alumni Association,"Nanyang Avenue, 639798",8/28/2008,Registered,https://opencorpdata.com/sg/T02SS0221F
19889,Singapore Institute of Food Science & Technology (SIFST),"Toa Payoh Central, 319194",8/28/2008,Registered,https://opencorpdata.com/sg/S77SS0002H
20111,School of Mechanical and Aerospace Engineering Alumni Association,"Nanyang Avenue, 639798",8/28/2008,Registered,https://opencorpdata.com/sg/S96SS0058K
